uf,regiao,cultura,safra_inicio,safra_fim,ano_referencia,area_plantada_ha,producao_ton,produtividade_kg_ha,data_levantamento,fonte
AP,Norte,Feijão,2025,2026,2026,1100.0,1000.0,910.0,2026-07,CONAB
PA,Norte,Feijão,2025,2026,2026,17700.0,12900.0,728.3,2026-07,CONAB
TO,Norte,Feijão,2025,2026,2026,117000.0,132300.0,1131.0,2026-07,CONAB
MA,Nordeste,Feijão,2025,2026,2026,42900.0,28400.0,660.9,2026-07,CONAB
PI,Nordeste,Feijão,2025,2026,2026,195100.0,74100.0,379.6,2026-07,CONAB
CE,Nordeste,Feijão,2025,2026,2026,314900.0,139800.0,443.9,2026-07,CONAB
RN,Nordeste,Feijão,2025,2026,2026,45400.0,15700.0,345.0,2026-07,CONAB
PB,Nordeste,Feijão,2025,2026,2026,100100.0,37100.0,370.6,2026-07,CONAB
PE,Nordeste,Feijão,2025,2026,2026,171800.0,117900.0,686.1,2026-07,CONAB
AL,Nordeste,Feijão,2025,2026,2026,13600.0,8500.0,622.5,2026-07,CONAB
SE,Nordeste,Feijão,2025,2026,2026,2400.0,1800.0,737.0,2026-07,CONAB
BA,Nordeste,Feijão,2025,2026,2026,347300.0,335700.0,966.6,2026-07,CONAB
MT,Centro-Oeste,Feijão,2025,2026,2026,205100.0,345200.0,1683.2,2026-07,CONAB
MS,Centro-Oeste,Feijão,2025,2026,2026,7300.0,13500.0,1848.0,2026-07,CONAB
GO,Centro-Oeste,Feijão,2025,2026,2026,127000.0,301600.0,2374.6,2026-07,CONAB
DF,Centro-Oeste,Feijão,2025,2026,2026,14700.0,38200.0,2599.6,2026-07,CONAB
MG,Sudeste,Feijão,2025,2026,2026,304500.0,537400.0,1764.9,2026-07,CONAB
ES,Sudeste,Feijão,2025,2026,2026,9000.0,9700.0,1080.1,2026-07,CONAB
RJ,Sudeste,Feijão,2025,2026,2026,900.0,1400.0,1528.0,2026-07,CONAB
SP,Sudeste,Feijão,2025,2026,2026,77800.0,182000.0,2339.8,2026-07,CONAB
PR,Sul,Feijão,2025,2026,2026,331700.0,527000.0,1588.7,2026-07,CONAB
SC,Sul,Feijão,2025,2026,2026,51200.0,94800.0,1850.8,2026-07,CONAB
RS,Sul,Feijão,2025,2026,2026,33300.0,51500.0,1546.2,2026-07,CONAB
RR,Norte,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
RO,Norte,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
AC,Norte,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
AM,Norte,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
AP,Norte,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
PA,Norte,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
TO,Norte,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
MA,Nordeste,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
PI,Nordeste,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
CE,Nordeste,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
RN,Nordeste,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
PB,Nordeste,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
PE,Nordeste,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
AL,Nordeste,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
SE,Nordeste,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
BA,Nordeste,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
MT,Centro-Oeste,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
MS,Centro-Oeste,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
GO,Centro-Oeste,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
DF,Centro-Oeste,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
MG,Sudeste,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
ES,Sudeste,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
RJ,Sudeste,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
SP,Sudeste,Cevada,2026,2026,2026,4100.0,13100.0,3200.0,2026-07,CONAB
PR,Sul,Cevada,2026,2026,2026,128900.0,543700.0,4218.0,2026-07,CONAB
SC,Sul,Cevada,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
RS,Sul,Cevada,2026,2026,2026,25500.0,75100.0,2947.0,2026-07,CONAB
RR,Norte,Trigo,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
RO,Norte,Trigo,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
AC,Norte,Trigo,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
AM,Norte,Trigo,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
AP,Norte,Trigo,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
PA,Norte,Trigo,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
TO,Norte,Trigo,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
MA,Nordeste,Trigo,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
PI,Nordeste,Trigo,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
CE,Nordeste,Trigo,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
RN,Nordeste,Trigo,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
PB,Nordeste,Trigo,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
PE,Nordeste,Trigo,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
AL,Nordeste,Trigo,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
SE,Nordeste,Trigo,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
BA,Nordeste,Trigo,2026,2026,2026,3000.0,18000.0,6000.0,2026-07,CONAB
MT,Centro-Oeste,Trigo,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
MS,Centro-Oeste,Trigo,2026,2026,2026,22900.0,52800.0,2305.0,2026-07,CONAB
GO,Centro-Oeste,Trigo,2026,2026,2026,45000.0,150300.0,3340.0,2026-07,CONAB
DF,Centro-Oeste,Trigo,2026,2026,2026,7900.0,31600.0,4001.0,2026-07,CONAB
MG,Sudeste,Trigo,2026,2026,2026,157100.0,420700.0,2678.0,2026-07,CONAB
ES,Sudeste,Trigo,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
RJ,Sudeste,Trigo,2026,2026,2026,0.0,0.0,0.0,2026-07,CONAB
SP,Sudeste,Trigo,2026,2026,2026,115000.0,351100.0,3053.0,2026-07,CONAB
PR,Sul,Trigo,2026,2026,2026,721500.0,2140700.0,2967.0,2026-07,CONAB
SC,Sul,Trigo,2026,2026,2026,85100.0,289900.0,3406.0,2026-07,CONAB
RS,Sul,Trigo,2026,2026,2026,879200.0,2570800.0,2924.0,2026-07,CONAB
